fix_modify AtC write_restart,atc_write_restart
pair_style meam/sw/spline,pair_meam_sw_spline
fix lb/fluid,fix_lb_fluid
fix imd,fix_imd
fix print,fix_print
compute sph/rho/atom,compute_sph_rho_atom
prd,prd
fix_modify AtC source,atc_source
angle_style harmonic,angle_harmonic
angle_style harmonic/intel,angle_harmonic
angle_style harmonic/kk,angle_harmonic
angle_style harmonic/omp,angle_harmonic
fix_modify AtC atomic_charge,atc_atomic_charge
dihedral_style harmonic,dihedral_harmonic
dihedral_style harmonic/intel,dihedral_harmonic
dihedral_style harmonic/kk,dihedral_harmonic
dihedral_style harmonic/omp,dihedral_harmonic
improper_style ring,improper_ring
improper_style ring/omp,improper_ring
bond_style harmonic/shift,bond_harmonic_shift
bond_style harmonic/shift/omp,bond_harmonic_shift
pair_style amoeba,pair_amoeba
pair_style amoeba/gpu,pair_amoeba
pair_style hippo,pair_amoeba
pair_style hippo/gpu,pair_amoeba
dihedral_style table,dihedral_table
dihedral_style table/omp,dihedral_table
dihedral_style table/cut,dihedral_table
fix gravity,fix_gravity
fix gravity/omp,fix_gravity
fix gravity/kk,fix_gravity
pair_style polymorphic,pair_polymorphic
fix ave/time,fix_ave_time
fix rx,fix_rx
fix rx/kk,fix_rx
timestep,timestep
pair_style coul/cut,pair_coul
pair_style coul/cut/gpu,pair_coul
pair_style coul/cut/kk,pair_coul
pair_style coul/cut/omp,pair_coul
pair_style coul/debye,pair_coul
pair_style coul/debye/gpu,pair_coul
pair_style coul/debye/kk,pair_coul
pair_style coul/debye/omp,pair_coul
pair_style coul/dsf,pair_coul
pair_style coul/dsf/gpu,pair_coul
pair_style coul/dsf/kk,pair_coul
pair_style coul/dsf/omp,pair_coul
pair_style coul/exclude,pair_coul
pair_style coul/cut/global,pair_coul
pair_style coul/cut/global/omp,pair_coul
pair_style coul/long,pair_coul
pair_style coul/long/omp,pair_coul
pair_style coul/long/kk,pair_coul
pair_style coul/long/gpu,pair_coul
pair_style coul/msm,pair_coul
pair_style coul/msm/omp,pair_coul
pair_style coul/streitz,pair_coul
pair_style coul/wolf,pair_coul
pair_style coul/wolf/kk,pair_coul
pair_style coul/wolf/omp,pair_coul
pair_style tip4p/cut,pair_coul
pair_style tip4p/cut/omp,pair_coul
pair_style tip4p/long,pair_coul
pair_style tip4p/long/omp,pair_coul
fix_modify AtC consistent_fe_initialization,atc_consistent_fe_initialization
fix ffl,fix_ffl
dihedral_style none,dihedral_none
pair_style buck/long/coul/long,pair_buck_long
pair_style buck/long/coul/long/omp,pair_buck_long
improper_coeff,improper_coeff
fix adapt/fep,fix_adapt_fep
fix box/relax,fix_box_relax
compute fep,compute_fep
pair_style atm,pair_atm
compute dpd,compute_dpd
fix heat,fix_heat
compute plasticity/atom,compute_plasticity_atom
fix setforce,fix_setforce
fix setforce/kk,fix_setforce
fix setforce/spin,fix_setforce
kspace_style ewald,kspace_style
kspace_style ewald/dipole,kspace_style
kspace_style ewald/dipole/spin,kspace_style
kspace_style ewald/disp,kspace_style
kspace_style ewald/disp/dipole,kspace_style
kspace_style ewald/omp,kspace_style
kspace_style ewald/electrode,kspace_style
kspace_style pppm,kspace_style
kspace_style pppm/kk,kspace_style
kspace_style pppm/omp,kspace_style
kspace_style pppm/gpu,kspace_style
kspace_style pppm/intel,kspace_style
kspace_style pppm/cg,kspace_style
kspace_style pppm/dielectric,kspace_style
kspace_style pppm/dipole,kspace_style
kspace_style pppm/dipole/spin,kspace_style
kspace_style pppm/disp,kspace_style
kspace_style pppm/disp/omp,kspace_style
kspace_style pppm/disp/tip4p,kspace_style
kspace_style pppm/disp/tip4p/omp,kspace_style
kspace_style pppm/disp/intel,kspace_style
kspace_style pppm/disp/dielectric,kspace_style
kspace_style pppm/cg/omp,kspace_style
kspace_style pppm/stagger,kspace_style
kspace_style pppm/tip4p,kspace_style
kspace_style pppm/tip4p/omp,kspace_style
kspace_style pppm/electrode,kspace_style
kspace_style pppm/electrode/intel,kspace_style
kspace_style msm,kspace_style
kspace_style msm/omp,kspace_style
kspace_style msm/cg,kspace_style
kspace_style msm/cg/omp,kspace_style
kspace_style msm/dielectric,kspace_style
kspace_style scafacos,kspace_style
minimize,minimize
dihedral_style,dihedral_style
pair_style wf/cut,pair_wf_cut
compute property/chunk,compute_property_chunk
fix external,fix_external
angle_style cosine/periodic,angle_cosine_periodic
angle_style cosine/periodic/omp,angle_cosine_periodic
group,group
compute pe/atom,compute_pe_atom
pair_style python,pair_python
fix wall/reflect,fix_wall_reflect
fix wall/reflect/kk,fix_wall_reflect
dump,dump
dump atom,dump
dump cfg,dump
dump custom,dump
dump dcd,dump
dump grid,dump
dump grid/vtk,dump
dump local,dump
dump xtc,dump
dump yaml,dump
dump xyz,dump
dump atom/gz,dump
dump cfg/gz,dump
dump custom/gz,dump
dump local/gz,dump
dump xyz/gz,dump
dump atom/mpiio,dump
dump cfg/mpiio,dump
dump custom/mpiio,dump
dump xyz/mpiio,dump
dump atom/zstd,dump
dump cfg/zstd,dump
dump custom/zstd,dump
dump xyz/zstd,dump
dump local/zstd,dump
compute smd/tlsph/shape,compute_smd_tlsph_shape
include,include
read_restart,read_restart
fix efield,fix_efield
fix efield/tip4p,fix_efield
fix_modify AtC mass_matrix,atc_mass_matrix
